ID,LABEL en,SYNONYMS,MAIN LANG,CATEGORY,DEFINITION,BIBLIOGRAPHY,VISUAL ASSOCIATION,ICONCLASS CODE,SMELL MENTIONED IN ICONCLASS,RELATED SCENT (see 'art historical scent wheel in google drive' for categories),NOSE-FIRST PARENT,RELATED,RELATED OBJECT,PARENT,INTERLINKS,,,VISUAL ALTERNATIVES,WordNet ID,Places dataset category (http://places2.csail.mit.edu/explore.html)
45,Market,,,,,,,46B11,,,,,,,http://www.wikidata.org/entity/Q330284,,,,,market - outdoor
46,market-hall,,,,,,,46B112,,,,,,45 Market,http://www.wikidata.org/entity/Q2080521,,,,,market - indoor
47,Marshland,,,,,,,X,,,,,,66 Swamps and polders,http://www.wikidata.org/entity/Q62562206,,,,,marsh
48,meadow,pasture,,,,,,25H17,,,,,,,http://www.wikidata.org/entity/Q7777019,,,,,
49,mountain,,,,,,,25H11,,,,,,,http://www.wikidata.org/entity/Q8502 https://www.geonames.org/ontology#T.MT https://www.geonames.org/ontology#T.MTS,,,,,
50,Nursery (plants),Market garden,,,,,,47I31,,,,,,,,,,,,
51,Ocean,,,,,,,25H2321,,,,,,93 Sea,http://www.wikidata.org/entity/Q9430,,,,,ocean; coast
52,Office,,,,,,,46B322,,,,,,,http://www.wikidata.org/entity/Q182060,,,,,office
53,Place of worship,,,,,,,11Q71,,,,,,,http://www.wikidata.org/entity/Q1370598,,,,3959692,
54,Museum,Permanent Exhibition,,,,,,48A821,,,,,,,http://www.wikidata.org/entity/Q10426913  https://www.geonames.org/ontology#S.MUS,,,,,
55,Pastry factory,,,,,,,X,,,,,112 Pastry,23 Factory,,,,,,
56,Prison,Jail,,,,,,44G311,,,,,,,http://www.wikidata.org/entity/Q40357,,,,,
57,poultry farm,,,,,,,47I23,,,,,,25 Farm,http://www.wikidata.org/entity/Q107856378,,,,,
58,Pharmacy,,,,,,,49G8,,,,,,,http://www.wikidata.org/entity/Q614304,,,,,
59,Public Bath,Bath house,,,"Either Roman 'terme' where people can either bathe or get cleansed with steam, or a space with a pool or bath where people can bathe",,,31A5451,,,,,3 Bath,,http://www.wikidata.org/entity/Q785952,,,,,
60,stud farm,,,,,,,46C1315,,,,,,,http://www.wikidata.org/entity/Q18663765,,,,,
61,Slaughter house,,,,,,,X,,,,,,,,,,,,
62,Slum,,,,,,,X,,,,,,,http://www.wikidata.org/entity/Q201759,,,,,
63,Stall,,,,,,,47I227,,,"animalistic, rural",,13 Animal,,http://www.wikidata.org/entity/Q22741872,,,,,
64,Street,Road,,,,,,25I141,,,,,,,http://www.wikidata.org/entity/Q34442 https://www.geonames.org/ontology#R.ST,,,,,
65,Sugar factory,,,,,,,X,,,,,,23 Factory,http://www.wikidata.org/entity/Q227857,,,,,
66,Swamps and polders,,,,,,,25H19,,,,,,,,,,,,
67,Swamp,"Inland marsh, Fens",,,,,,25H191,,,,,"262 Mildew, 263 Mould",66 Swamps and polders,http://www.wikidata.org/entity/Q166735,,,,,
68,Tannery,,,,,,,X,,,,,,,http://www.wikidata.org/entity/Q3515239,,,,,
69,House,,,,,,,41A,,,,,,,http://www.wikidata.org/entity/Q3947,,,,,
70,Wig shop,,,,,,,,,,,,,,,,,,,
71,Tobacco factory,,,,,,,X,,,,,227 Tobacco,23 Factory,http://www.wikidata.org/entity/Q55635949,,,,,
72,Tea garden,Garden restaurant,,,,,,43B312,,,,,,27 Garden,http://www.wikidata.org/entity/Q1827414,,,,,
73,Village,,,,,,,25I2,,,,,,32 Hospital,http://www.wikidata.org/entity/Q532,,,,,
74,Hospital ward,Hospital room,,,,,,49G41,,,,,,,,,,,,
75,Wash house,"Home laundry, Laundry room",,,,,,41D4281,,,,,,,http://www.wikidata.org/entity/Q1690211,,,,,
76,War zone,Battle field,,,,,,45H3,,,"Empyreumatic/ smoke, earthy/ mineral, animalstic, body odour, sulphurous/ rotten/ fecal",,"248 Carbolic acid, 266 Idoform",,http://www.wikidata.org/entity/Q4895508 https://www.geonames.org/ontology#L.BTL,,,,,
77,Graveyard,cemetery,,,,,,42E43,,,,,,,http://www.wikidata.org/entity/Q39614,,,,,
78,Field hospital,,,,,,,45C723,,,,,,,http://www.wikidata.org/entity/Q1402739,,,,,
79,Pleasure fair,Circus,,,,,,43A3,,,,,,,,,,,,
80,Ropery,Rope walk,,,,,,47H411,,,,,,,http://www.wikidata.org/entity/Q1249556,,,,,
81,Fenced garden,"Hortus Conclusus, Walled Garden",,,,,,41A635,,,,,,27 Garden,,,,,,
82,Brothel,,,,,,,33C51,,,,,,,http://www.wikidata.org/entity/Q131295,,,,,
83,Anatomical theatre,,,,,,,x,,,,,,,http://www.wikidata.org/entity/Q488444,,,,,
84,Botanical garden,Hortus Botanicus,,,,,,49F11,,,,,,27 Garden,http://www.wikidata.org/entity/Q167346,,,,,
85,Soap works,,,,,,,x,,,,,,,,,,,,
86,Old House,,,,,,,x,,,,,"262 Mildew, 263 Mould",69 House,,,,,,
87,Medical garden,,,,Garden for medical plants,,,x,,,,,,,,,,,,
88,Synagogue,,,,,,,x,,,,,,53 Place of worship,http://www.wikidata.org/entity/Q34627 https://www.geonames.org/ontology#S.REST,,,,4381822,
89,Mosque,,,,,,,12I61,,,,,,53 Place of worship,http://www.wikidata.org/entity/Q32815,,,,3793728,
90,Vinegar factory,,,,,,,x,,,,,165 Vinegar,23 Factory,,,,,,
91,Tobacco spinning workshop,,,,,,,x,,,,,,,,,,,,
92,Restaurant,,,,,,,43B311,,,,,227 Tobacco,,http://www.wikidata.org/entity/Q11707,,,,4088393,
93,Sea,,,,,,,25H2322,,,,,,,http://www.wikidata.org/entity/Q165,,,,,
94,Tarpit,,,,,,,,,tar,epyreumatic/ smoke,,231 Tar,,,,,,,
95,Library,,,,,,,49M9,,,,,"262 Mildew, 263 Mould, 417 Book",,http://www.wikidata.org/entity/Q7075,,,,,
96,Polder,,,,,,,25H192,,,,,,66 Swamps and polders,http://www.wikidata.org/entity/Q106259,,,,,
97,Run factory,,,,,,,,,,,,,,,,,,,
98,Sewer,,,,,,,25I17,,,Sulphurous/ rotten/ fecal,,,,http://www.wikidata.org/entity/Q1805497,,,,,
99,Limkiln,,,,,,,,,,,,,,,,,,,
100,Pub,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q212198,,,,,
101,Hell,,,,,,,11T,,,,,,,http://www.wikidata.org/entity/Q564,,,,,
102,Theatre,Theater,,,,,,48A721,,,,,,,http://www.wikidata.org/entity/Q11635 https://www.geonames.org/ontology#S.THTR,,,,,
103,Dirt road,,,,,,,,,,,,,64 Street,http://www.wikidata.org/entity/Q700143,,,,,
104,School,,,,,,,"49B2, 49B3, 49B4",,,,,,,http://www.wikidata.org/entity/Q3914 https://www.geonames.org/ontology#S.SCH,,,,,
105,Bakery,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q274393,,,,,
106,Print shop,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q47003909,,,,,
107,Shop,,,,,,,46B13,,,,,,,http://www.wikidata.org/entity/Q213441,,,,,
108,Paradise,,,,,,,11S,,,,,,,http://www.wikidata.org/entity/Q3363340,,,,,
109,Arabia,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q31945,,,,,
110,Arcadia,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q168786,,,,,
111,Bedroom,Room,,,,,,41A23,,,,,,,https://www.wikidata.org/wiki/Q180516,,,,,
112,Living room,,,,,,,41A221,,,,,,,,,,,,
113,Coal Wagon,,,,,,,,,,,,,,,,,,,
114,Dilligence,"Chariot, Postal Coach",,,,,,,,,,,,,,,,,,
115,Haystack,,,,,,,,,,,,,,,,,,,
116,Stable,,,,,,,47I227,,,"animalistic, rural",,189 Horse,63 Stall,http://www.wikidata.org/entity/Q214252,,,,,
117,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,
