ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
161,Tea,Tee,,,
162,Tussie Mussie,,,,
163,Vial,Ampulle,"Fläschchen, Flakon, Phiole",,
164,Vinaigrette,Riechfläschchen,,,
165,Vinegar,Essig,,,
166,Vomit,Kotze,Erbrochenes,,
167,Wax,Wachs,,,
168,Wig,Perücke,,,
169,Wine,Wein,,,
170,Iris,Iris,Schwertlilie,,
171,Jonquil,Narzisse,,,
172,Patchouli,,,,
173,<Sillage>,,,,
174,Alembic,,,,
175,Lily-of-the-valley,,,,
176,Laundry,Wäsche,Wäscherei,,
177,Spice,Gewürze,,,
178,Seafood,Meeresfrüchte,,,
179,Oil lamp,Öllampe,,,
180,Meat,Fleisch,,,
181,Sausage,Würste,Würstchen,,
182,Ham,Schinken,,,
183,Stew,Eintopf,,,
184,Poultry,Geflügel,,,
185,Porridge,Haferbrei,Haferschleim,,
186,Pancake,Pfannkuchen,Pancakes,,
187,Pie,Torten,Pasteten,,
188,Pig,Schweine,,,
189,Horse,Pferde,,,
190,Cow,Kühe,,,
191,Bull,Bullen,,,
192,Goat,Ziegenbock,,,
193,Sheep,Schaf,,,
194,Chicken,Huhn,,,
195,Pigeon,Tauben,,,
196,Pigeon manure,,,,
197,Labdanum,,,,
198,Sea,Meer,,,
199,Lake,See,,,
200,Tree,Bäume,,,
201,Lime blossom tree,Linde,,,
202,Sandalwood,Sandelholz,,,
203,Benzoin,Benzoebaum,Storaxbaum,,
204,Tolu balm,Tolubalsam,,,
205,Peru balm,Perubalsam,,,
206,Vanilla,Vanille,,,
207,Castoreum,Bibergeil,,,
208,Coumarin,Kumarin,Cumarin,,
209,Meadow sweet,Mädesüß,,,
210,Strewing herb,,,,
211,Balm,Balsam,,,
212,Calamus,Kalmus,,,
213,Maces,,,,
214,Clove,Nelken,,,
215,Cinnamon,,,,
216,Gunpowder,Schießpulver,,,
217,Styrax,,,,
218,Oak,Eiche,,,
219,Ylang ylang,Ylang-Ylang Baum,,,
220,Opoponax,,,,
221,Acacia,Akazie,,,
222,galbanum,Galbanum,Galbanharz,,
223,violet,Veilchen,,,
224,orris root,Florentiner Schwertlilie,,,
225,gum tragacanth,Traganth,Gummitragant,,
226,hyacinth,Hyazinte,,,
227,Tobacco,,,,
228,Aqua mirabilis,,,,
229,Theriaca,,,,
230,Tar,Teer,,,
231,Juniper,Wacholderbeere,,,
232,Laurel,Lorbeer,,,
233,Leather,Leder,,,
234,myrtle,Myrte,Myrthe,,
235,mint,Minze,,,
236,orchid,Orchidee,,,
237,Tuberose,Tuberose,,,
238,filth,Dreck,Schmutz,,
239,Acacia farnesiana,,,,
240,chamber pot,Nachttopf,,,
241,gangreen,,,,
242,sulphur,Schwefel,,,
243,sulphuric acid,Schwefelsäure,,,
244,mustard gas,Senfgas,,,
245,wet earth,Feuchte Erde,,,
246,petrichor,Regengeruch,Petrichor,,
247,ozone,Ozon,,,
248,Carbolic acid,Karbolsäure,,,
249,peat,Torf,,,
250,Peony,,,,
251,Incense bowl,,,,
252,<Boldoot>,,,,
253,Fougère,,,,
254,Halitosis,,,,
255,Raflessia,,,,
256,Durian,,,,
257,Daffodil,,,,
258,Jasmine,,,,
259,Resin,,,,
260,Cashmere,,,,
261,Miasma,,,,
262,Mildew,,,,
263,Mould,,,,
264,Golden altar of incense,,,,
265,iso-butyl-quinoline,,,,
266,idoform,,,,
267,Frankincense,,,,
268,<warmoes>,,,,
269,Incense,,,,
270,Musk,Moschus,,,
271,ink,,,,
272,cork,,,,
273,cardboard,,,,
274,glue,,,,
275,turpentine,,,,
276,rubber,Naturkautschuk,"Kautschuk, Gummi",,
277,grapefruit,,,,
278,mandarin,,,,
279,lemongrass,,,,
280,blackcurrant,,,,
281,blueberry,,,,
282,strawberry,,,,
283,raspberry,,,,
284,rhubarb,,,,
285,peach,,,,
286,plum,,,,
287,grape,,,,
288,honeydew melon,,,,
289,pineapple,,,,
290,pear,,,,
291,watermelon,,,,
292,coconut,,,,
293,walnut,,,,
294,hazelnut,,,,
295,peanut,,,,
296,almond,,,,
297,carrot,,,,
298,aubergine,,,,
299,pea,,,,
300,potato,,,,
301,asparagus,,,,
302,chives,,,,
303,leek ,,,,
304,bellpepper,,,,
305,corn,,,,
306,horse radish,,,,
307,spring onion ,,,,
308,celery,,,,
309,parsnip,,,,
310,olive,,,,
311,cabbage,,,,
312,mushroom,,,,
313,cucumber,,,,
314,beetroot,,,,
315,parsley,,,,
316,cress,,,,
317,curry,,,,
318,mustard  ,,,,
319,chili,,,,
320,fenugreek,,,,
321,pepper,,,,
322,Origan,,,,
323,cumin,,,,
324,anise,,,,
325,fennel,,,,
326,caraway,,,,
327,dill,,,,
328,liquorice,,,,
329,woodruff,,,,
330,coriander seed,,,,
331,coriander leaf,,,,
332,sage,,,,
333,lovage,,,,
334,lemon balm,,,,
335,lemon,,,,
336,cider,,,,
337,liqueur,,,,
338,milk,,,,
339,cream,,,,
340,yoghurt,,,,
341,egg,,,,
342,mussel,,,,
343,Crustacean,,,,
344,honey,,,,
345,beeswax,,,,
346,broth,,,,
347,Candy floss,,,,
348,marzipan,,,,
349,amaretto,,,,
350,geranium,,,,
351,geranium leaf,,,,
352,blackcurrant leaf,,,,
353,elderflower,,,,
354,rapeseed,,,,
355,eucalyptus,,,,
356,pine needle,,,,
357,fir needle,,,,
358,conifer,,,,
359,cedar (Virginia),,,,
360,cedar (Lebanon),,,,
361,Chamomile,,,,
362,Lilac,,,,
363,Popcorn,,,,
364,malt,,,,
365,yeast,,,,
366,urine,,,,
367,sweat,,,,
368,Semen,,,,
369,cat urine,,,,
370,Seed,Pflanzensamen,"Same, Samen",,
371,liquid manure,,,,
372,furze,,,,
373,Sulphur sticks,,,,
374,Musical snuff box,,,,
375,whale oil,,,,
376,cod liver oil,,,,
377,pollution,,,,
378,air pollution,,,,
379,wind,,,,
380,sea wind,,,,
381,diesel fuel,,,,
382,kerosene,,,,
383,petroleum,,,,
384,passion flower,,,,
385,passion fruit,,,,
386,<schlag>,,,,
387,<oiselet>,,,,
388,sassafras,,,,
389,musk mallow,,,,
390,musk seed,,,,
391,Cornflower,,,,
392,chamois leather,,,,
393,fumigation,,,,
394,<speculaes>,,,,
395,Allspice,,,,
396,oud,,,,
397,onycha,,,,
398,vetiver,,,,
399,<reukwerk>,,,,
400,Florida Water,,,,
401,Acqua della Regina,,,,
402,Nitre plant,,,,
403,Vegetable,,,,
404,Medicine,,,,
405,Food,,,,
406,Nutmeg,,,,
407,Basilic,,,,
408,Rosemary,,,,
409,Thyme,,,,
410,Root,Wurzel,,,
411,Cinnamon cassia,Zimtkassie,Gewürzrinde,,
412,Bottle,,,,
413,Malodor,,,,
414,Saffron,,,,
415,Lavender,,,,
416,Book,,,,
417,Air,,,,
418,Slurry,,,,
419,Stapelia,,,,
420,Aceltene,,,,
421,Tagetes,,,,
422,Mandrake,,,,
423,Wormwood,,,,
424,Ammonia,,,,
425,Magnolia,,,,
426,Lignum Aquilae,,,,
427,Asa Foetida,Asant,,,
428,Grayling,Äschen,,,
429,Field wormwood,Feld-Beifuß,,,
430,Acetic acid,Essigsäure,,,
431,Amber,Bernstein,,,
432,Ambergris,Ambra,,,
433,Asphalt,Asphalt,,,
434,Henbane,Schwarze Bilsenkraut,,,
435,Water mint,Wasserminze,Bachminze,,
436,Brown coal,Braunkohle,,,
437,Neroli,Neroli,,,
438,Petunia,Petunien,,,
439,Poppy,Mohn,Papaver,,
440,Tulip,Tulpen,,,
441,Apple,Kulturapfel,Apfel,,
442,Cherry,Kirsche,,,
443,Currant,Johannisbeeren,Ribiseln,,
444,Fig,Feige,,,
445,Melon,Melone,,,
446,Artichoke,Artischocke,,,
447,Pumpkin,Kurbis,,,
448,Vessel,Behälter ,,,
449,Drinking glass,Gefäß,Trinkglas,,
450,Glass with stem,Kelch,,,
451,Glass without stem,,,,
452,Jug,,,,
453,Cup,Tasse,,,
454,Chalice,Kelch (Liturgie) ,,,
455,Wine Bottle,Weinflasche,,,
456,Carafe,Karaffe,,,
457,Coffeepot,Kaffeekanne,,,
458,Teapot,Teekanne,,,
459,Vertebrate,Wirbeltiere,,,
460,Carcass,Karkasse,,,
461,Bird,Vogel,,,
462,Cat,Hauskatze,,,
463,Donkey,Hausesel,,,
464,Invertebrate,wirbellos,,,
465,Bivalve,Muschel,,,
466,Butterfly,Schmetterling,,,
467,Caterpillar,Raupe,,,
468,Fly,fliegen,,,
469,Lobster,Languste,,,
470,Prawn,Garnele,,,
471,Insect,Insekt,,,
472,Bracelet,Armband,,,
473,Ring,Ring,,,
474,Ashtray,Aschenbecher,,,
475,Warfare,Krieg,,,
476,Wood,Holz,Rinde,,
477,Reptile/Amphibia,,,,
478,Reptile,,,,
479,Amphibia,,,,
480,Mammal,,,,
481,Smoking equipment,,,,
482,Dahlia,,,,
483,Orange,,,,
484,Blackberry,,,,
485,Radish,,,,
486,Matthiola,,,,
487,Forget-me-not,,,,
488,Snail,,,,
489,Crab,,,,
490,Ant,,,,
491,Dragonfly,,,,
492,Necklace,,,,
493,Earring,,,,
494,Cauliflower,,,,
495,Avocado,,,,
496,Milk Jug,,,,
497,Delphinium,,,,
498,Pomegranate,,,,
499,Monkey,,,,
500,Rat,,,,
501,Rabbit,,,,
502,Lion,,,,
503,Deer,,,,
504,Grasshopper,,,,
505,Match,,,,
506,Lizard,,,,
507,Salad,,,,
508,Camel,,,,
509,Mouse,,,,
510,Guinea pig,,,,
511,Apricot,,,,
512,Tiger,,,,
513,Wolf,,,,
514,Bear,,,,
515,Leopard,,,,
516,Snake,,,,
517,Amulet,,,,
518,Cocoon,,,,
519,Rope tobacco,,,,
520,Nut,,,,
521,Chestnut,,,,
522,Barrel,,,,
523,Physalis,,,,
524,Frog,,,,
525,Moth,,,,
526,Spider,,,,
527,Gooseberry,,,,
528,Quince,,,,
529,Rosehip,,,,
530,Snuff,,,,
531,Leaf,,,,
532,Cigar butt,,,,
533,Body,,,,
534,Drink,,,,
535,Alcoholic drink,,,,
536,Ointment,,,,
537,Breath,,,,
538,Steam,Wasserdampf,,,
539,Person,,,,
540,Man,,,,
541,Woman,,,,
542,Worm,,,,
543,Algae,,,,
544,Cookie,,,,
545,Mimosa,,,,
546,Prayer nut,,,,
547,Ammonia soap,,,,
548,Incense ship,,,,
549,Tobacco grater,,,,
550,Reseda,,,,
551,Orange blossom,,,,
552,Heliotropium,,,,
553,Spermaceti,,,,
554,Artefact,,,,
555,Being,,,,
556,Animal product,,,,
557,Practice,,,,
558,Fragrance,,,,
559,Nature,,,,
560,Flora,,,,
561,Cloth,,,,
562,Element,,,,
563,Abstract,,,,
564,Religion,,,,
565,Bodily fluid,Körperflüssigkeit,,,
566,Beaver hat,Kastorhut,,,
567,Ranunculus,Hahnenfuß,,,
568,Chess flower,Schachblume,,,
569,Dandelion,Gewöhnliche Löwenzahn,,,
570,Snowflake,Knotenblumen,,,
571,Big cat,,,,
572,Jan Steen jug,,,,
573,Bellflower,Glockenblumen,,,
574,Pot,,,,
575,Daisy,Gänseblümchen,,,
576,Beer stein,Humpen,,,
577,Wastewater,Abwasser,"Regenwasser, Grauwasser, Schwarzwasser , Gelbwasser, Braunwasser, Fremdwasser",,
